d_c,lag_log_a,_Iage_group_1,_Iage_group_2,_Iage_group_3
.57249165,9.9385548,0,0,1
-.78821087,7.183569,0,0,1
-.043268204,9.9561319,0,1,0
.1758728,10.222909,0,1,0
-.19221306,11.357956,0,0,1
-.14787388,10.689871,0,0,1
-.87409115,7.5890341,0,1,0
-.52556229,8.3902597,0,0,1
.1894474,9.7668905,0,1,0
.54682064,9.5437469,0,1,0
-.29209614,10.446053,0,1,0
-.15981102,10.277716,0,0,1
.11968994,7.6326418,0,0,1
.50714302,9.584569,0,1,0
-.046854019,10.782525,1,0,0
.13016605,9.3614254,1,0,0
.50750256,8.8366146,0,1,0
.57102203,8.7930069,0,1,0
-1.0581303,9.6194296,0,1,0
-.27522755,8.6791439,0,1,0
-.17665386,7.6971121,0,1,0
.22992229,8.600378,0,0,1
-.0022335052,8.0381193,0,0,1
.50991631,11.165328,0,1,0
-.51997757,8.2745075,0,0,1
-.06421566,9.6798792,0,1,0
.22987747,10.29523,0,1,0
.099046707,13.985964,0,0,1
-.88083839,13.825365,0,0,1
.49501419,12.290062,0,0,1
-.5602417,13.760898,0,0,1
-.042985916,13.525679,0,0,1
.24140072,9.2935257,1,0,0
.47548103,7.8764601,0,0,0
-.18815804,9.0156164,0,0,0
-.63311863,9.9029198,0,0,0
.46827888,10.405162,0,0,0
-.59072399,10.091033,0,0,0
-.047457695,8.3745909,1,0,0
.47573853,7.183569,0,0,1
.27674675,9.7668905,0,0,0
.34777832,9.6250715,0,0,0
.38434982,8.9753284,1,0,0
-.43512154,9.437108,1,0,0
.23415089,9.0156164,1,0,0
-.0493927,9.4018602,1,0,0
.50056553,9.2935257,1,0,0
.006729126,8.1683187,1,0,0
.34865189,8.1025772,0,1,0
.37865543,9.6475573,0,0,0
-.47497463,7.0588398,1,0,0
.099088669,8.0629578,0,1,0
.11891651,7.539988,0,0,1
.13318443,9.2968864,1,0,0
-.11127853,8.7930069,0,0,0
-.1667223,8.1434679,1,0,0
.028746605,8.6876469,0,1,0
.234828,7.069706,0,1,0
.31264114,8.1025772,0,1,0
.46911716,10.073941,1,0,0
.050725937,9.57687,0,1,0
.070025444,10.065438,0,1,0
.25011253,9.7120152,0,1,0
-.12809849,9.9866724,0,1,0
.18331528,9.6475573,0,1,0
-.25159168,12.094168,0,1,0
.12166977,9.5297623,0,0,1
-.025033951,13.223824,0,0,1
-.081277847,12.871096,0,0,1
.012434006,8.6791439,0,0,1
.31556606,11.609135,0,0,1
.09106636,10.67982,0,0,1
-.38555527,7.7628531,0,0,0
-.7350378,9.479208,0,0,1
-.10808372,11.098378,0,0,1
.07942009,10.179301,0,0,1
-.10912132,11.41811,0,0,1
.067229271,10.625054,0,0,1
.4011879,10.633556,0,0,1
-.40675545,10.353398,0,0,1
.33132076,9.149148,0,0,1
-.17821407,9.3066177,0,0,0
.38251972,9.9561577,1,0,0
-.17345905,10.584511,1,0,0
.0045852661,10.288582,1,0,0
.27120495,10.974257,1,0,0
.27303791,11.068478,1,0,0
.051909447,7.2819834,1,0,0
.13893223,7.9203238,0,1,0
.54668331,10.550865,0,1,0
-.37701035,9.2139645,0,1,0
.53265381,9.7777567,0,1,0
-.23493671,8.6134024,0,1,0
-.02463913,8.0895529,0,1,0
-.21677113,11.132132,1,0,0
.32638931,11.475672,0,1,0
-.049995422,10.601295,0,1,0
.15883827,10.941185,0,1,0
-.31580544,10.940907,0,1,0
.82599258,10.717537,0,1,0
.26593018,10.424928,0,0,1
-.11395741,10.999949,0,0,1
-.2881422,7.3274126,0,0,1
.45871067,10.022823,0,1,0
-.16832638,9.7120838,0,1,0
.24052048,11.357956,0,1,0
-.18622303,10.53572,0,1,0
-.26033974,11.164051,0,0,1
-.47282887,10.692844,0,0,1
.085063934,8.7439604,0,0,0
.31349945,9.9029198,0,0,0
.46998596,9.9996967,1,0,0
-.48984814,9.8241539,1,0,0
.23249817,9.0189486,1,0,0
-.61864471,10.916057,0,0,1
.23950863,11.501057,0,0,1
-.37989807,12.821498,0,0,1
-.29127693,12.541977,0,0,1
.2208395,11.832278,0,0,1
.48420048,9.4758472,0,0,1
-.079223633,9.0737429,0,1,0
.04641819,8.8366146,0,0,1
-.33278656,8.5698633,0,0,1
1.0371227,7.8276701,0,0,1
-.57989407,9.149148,0,0,1
.2615509,8.3902597,0,0,1
-.23120403,8.600378,0,0,1
.13864708,7.8276701,0,0,1
.32198429,8.8914213,0,0,0
.046857834,9.30655,1,0,0
-.098106384,10.67982,0,1,0
.19513226,10.340704,0,1,0
.66216373,9.2935257,0,1,0
.17796326,10.158382,0,1,0
.44251633,11.383018,0,0,0
.65017891,7.8697701,1,0,0
-.13023663,9.1730871,1,0,0
.071863174,8.1683187,1,0,0
.43736267,8.3902597,1,0,0
.24015236,11.085285,1,0,0
.057950974,11.066641,1,0,0
-.11687279,8.6134024,1,0,0
-.073448181,7.4751711,0,0,1
-1.1565962,7.183569,0,1,0
1.1755238,7.1345229,0,1,0
.088077545,7.6971121,0,0,1
-1.2912445,8.0895529,0,0,1
-.45864964,8.0381193,0,0,1
.39565086,8.8914213,1,0,0
-.31650925,7.2271767,1,0,0
.53142834,7.183569,1,0,0
.62768936,7.9859967,0,1,0
.41048622,7.0039649,0,1,0
-.3892231,7.6326542,0,0,1
.085803032,7.2819834,1,0,0
.0095043182,8.6381636,0,0,1
.6749258,9.1294794,0,0,1
-.9505949,8.9262819,0,0,1
.32542801,8.6682777,1,0,0
-.2821331,8.6381636,1,0,0
.24240971,8.9753284,1,0,0
.072238922,9.437108,1,0,0
.25208569,9.3722916,1,0,0
-.31466484,9.4888716,0,1,0
-.56938839,10.197603,0,1,0
.037675858,9.0737429,0,0,1
-.17504501,10.967224,0,0,1
.22406006,9.198472,0,0,1
.137887,9.3317471,0,0,1
.41252422,8.8914213,0,0,1
.017803192,9.3066177,0,0,1
