age,log_consumption,log_liq_wealth,log_housing_wealth,log_income,log_mortgage,WHtM,PHtM,housing,consumption,liq_wealth,housing_wealth,income,mortgage,log_housing_wealth_if_owner
22,9.2780285,4.781918,.74936008,9.8670835,.63592505,.037181996,.65362036,.088062622,13121.993,3508.7856,2937.2112,25715.934,4963.3286,8.5093994
23,9.3984089,4.7755213,.99402273,9.9874105,.90358216,.053824361,.60906518,.10906515,14823.982,5126.6001,3904.5979,28482.838,8114.3286,9.1140261
24,9.3664989,4.9659166,1.2258956,10.045671,1.1636829,.052966103,.58580506,.13665254,14355.704,4714.3955,5055.4297,32263.129,11786.29,8.9708948
25,9.4658108,5.0029454,1.4353306,10.192611,1.3995613,.062152132,.56679034,.16790353,15176.872,6820.5024,5836.7876,36885.063,13750.166,8.5485439
26,9.4869394,5.1415596,1.976922,10.294112,1.8837438,.098910309,.53646272,.21290864,15814.111,6205.0503,8558.1201,39483.688,20706.059,9.2853069
27,9.5865755,5.2144508,2.3437614,10.438776,2.2959027,.10060711,.52298355,.25585428,17158.822,8928.748,11308.812,44280.625,26164.842,9.160532
28,9.5781002,5.3832893,2.4641836,10.432937,2.5809488,.11317704,.51333874,.2708165,17185.377,6701.7432,9431.208,45779.973,31549.525,9.0990896
29,9.6514797,5.5757422,3.0397947,10.497365,3.0211034,.12619808,.47204474,.32268369,18117.051,8558.0254,14035.154,49599.051,33578.426,9.4203539
30,9.6672153,5.5109735,3.373924,10.537419,3.4410641,.14273648,.4670608,.3606419,18464.684,9159.3223,14717.767,52741.547,44290.539,9.3553305
31,9.6885214,5.5457158,3.7876902,10.643661,3.7489233,.17445743,.44908181,.40150249,18521.172,8743.4922,16822.293,54946.313,44707.648,9.4337893
32,9.7516003,5.6223326,3.9934418,10.681444,3.9027002,.16477768,.44463819,.41586748,19718.895,10820.512,20493.645,57786.516,50355.941,9.6026783
