	PHtM	WHtM	H	logC	logHW	logY	logLW	logM	
L_PHtM	  .3760995	 .05980387	 -.0004059	  .0512917	 .17695801	 .01179714	-.11498527	-.14245816	
L_WHtM	 .07382473	 .39348421	-.04668574	 .05277543	-.89459759	  .0871064	-.43647483	-.13239983	
L_housing	-.37644434	 .31256935	 .85175842	 .11272783	 4.9070578	 .06670912	 .00817066	 1.8743931	
L_log_consumption	  .0060596	 .01673197	-.00064085	  .4863258	 .02025188	 .31663197	 .11237052	 .03705698	
L_log_housing_wealth	-.00436136	-.00867449	  .0070364	 .00495261	 .50779259	-.00024214	 .08400095	 .03524485	
L_log_income	-.01411095	-.00592065	 .00462309	 .08101337	 .05265405	 .37228107	 .29376271	 .13179305	
L_log_liq_wealth	-.00240057	-.00085038	 .00074504	 .01438039	  .0283726	  .0411547	 .43888029	 .01205946	
L_log_mortgage	-.00017766	 .00193793	 .00261645	 .00366874	-.00063739	 .01573858	 .00628624	 .66254216	
_cons	 .13090925	 .10560331	-.00118672	 3.3487504	 1.1646239	 1.5885755	 .46745175	-1.6272187	
age	 .02776195	-.02168838	 -.0056308	 .04258174	-.19988364	 .11799107	-.09808124	-.01938334	
age2	-.00055689	 .00059413	 .00016558	-.00090247	 .00511533	  -.002562	 .00159788	 .00120335	
age3	 3.514e-06	-5.035e-06	-1.298e-06	 5.562e-06	-.00003747	 .00001755	-5.479e-06	-.00001671	
bought	-.59440279	 .50928462	 .99817997	 .19872859	  9.593051	 .22156787	 .52185875	 8.0796261	
