c1,xvar1,xvar2
.4968667,log_consumption,L_log_consumption
.012551917,log_consumption,L_log_liq_wealth
.005859707,log_consumption,L_log_housing_wealth
.083024435,log_consumption,L_log_income
.017881855,log_consumption,L_log_mortgage
.10264941,log_consumption,L_housing
.036816984,log_consumption,L_WHtM
.035102487,log_consumption,L_PHtM
-.15710612,log_consumption,L_dummy_mort
.037988506,log_consumption,age
-.00075766619,log_consumption,age2
4.2744177e-06,log_consumption,age3
.19098787,log_consumption,bought
3.2954056,log_consumption,_cons
.10753529,log_liq_wealth,L_log_consumption
.42718428,log_liq_wealth,L_log_liq_wealth
.074343227,log_liq_wealth,L_log_housing_wealth
.31854048,log_liq_wealth,L_log_income
.16592105,log_liq_wealth,L_log_mortgage
.24514616,log_liq_wealth,L_housing
-.50103962,log_liq_wealth,L_WHtM
-.24272785,log_liq_wealth,L_PHtM
-1.9363669,log_liq_wealth,L_dummy_mort
-.084425516,log_liq_wealth,age
.0013005001,log_liq_wealth,age2
-3.4393381e-06,log_liq_wealth,age3
.53051966,log_liq_wealth,bought
.26587948,log_liq_wealth,_cons
.038985427,log_housing_wealth,L_log_consumption
.039658908,log_housing_wealth,L_log_liq_wealth
.46263742,log_housing_wealth,L_log_housing_wealth
.07589633,log_housing_wealth,L_log_income
-.088645265,log_housing_wealth,L_log_mortgage
5.2066326,log_housing_wealth,L_housing
-.64951694,log_housing_wealth,L_WHtM
.13648117,log_housing_wealth,L_PHtM
1.0156174,log_housing_wealth,L_dummy_mort
-.19277927,log_housing_wealth,age
.0051010321,log_housing_wealth,age2
-.000037870454,log_housing_wealth,age3
9.6295824,log_housing_wealth,bought
.49560186,log_housing_wealth,_cons
.3166599,log_income,L_log_consumption
.03754719,log_income,L_log_liq_wealth
.0068108835,log_income,L_log_housing_wealth
.38333121,log_income,L_log_income
.048536472,log_income,L_log_mortgage
.03180502,log_income,L_housing
.040714171,log_income,L_WHtM
-.0187521,log_income,L_PHtM
-.37941179,log_income,L_dummy_mort
.11641234,log_income,age
-.0025332374,log_income,age2
.000017349883,log_income,age3
.22592267,log_income,bought
1.5613859,log_income,_cons
.04716637,log_mortgage,L_log_consumption
-.005867668,log_mortgage,L_log_liq_wealth
.031726863,log_mortgage,L_log_housing_wealth
.12873974,log_mortgage,L_log_income
.77528071,log_mortgage,L_log_mortgage
2.0516651,log_mortgage,L_housing
-.25456408,log_mortgage,L_WHtM
-.19129138,log_mortgage,L_PHtM
-1.2799106,log_mortgage,L_dummy_mort
-.012681343,log_mortgage,age
.0010815018,log_mortgage,age2
-.000016152115,log_mortgage,age3
8.2204895,log_mortgage,bought
-1.684175,log_mortgage,_cons
.00011008442,housing,L_log_consumption
.0013241011,housing,L_log_liq_wealth
.0040696124,housing,L_log_housing_wealth
.0048368806,housing,L_log_income
-.0057646683,housing,L_log_mortgage
.87789923,housing,L_housing
-.036392685,housing,L_WHtM
.0046283053,housing,L_PHtM
.096620388,housing,L_dummy_mort
-.0036786583,housing,age
.00012394119,housing,age2
-9.9526540e-07,housing,age3
.99861515,housing,bought
-.047437761,housing,_cons
.016138781,WHtM,L_log_consumption
-.0049743229,WHtM,L_log_liq_wealth
-.0079646893,WHtM,L_log_housing_wealth
-.010812578,WHtM,L_log_income
.040316973,WHtM,L_log_mortgage
.31920242,WHtM,L_housing
.38534415,WHtM,L_WHtM
.040391386,WHtM,L_PHtM
-.42321423,WHtM,L_dummy_mort
-.019354511,WHtM,age
.00053337344,WHtM,age2
-4.5426523e-06,WHtM,age3
.53204495,WHtM,bought
.16923389,WHtM,_cons
.0051010894,PHtM,L_log_consumption
-.0015317461,PHtM,L_log_liq_wealth
-.0026491031,PHtM,L_log_housing_wealth
-.013584107,PHtM,L_log_income
.0065922108,PHtM,L_log_mortgage
-.35954869,PHtM,L_housing
.038395673,PHtM,L_WHtM
.40028322,PHtM,L_PHtM
-.096771918,PHtM,L_dummy_mort
.022713909,PHtM,age
-.00044268288,PHtM,age2
2.6990399e-06,PHtM,age3
-.6267584,PHtM,bought
.17369944,PHtM,_cons
.0018041424,dummy_mort,L_log_consumption
-.0028382353,dummy_mort,L_log_liq_wealth
.001714887,dummy_mort,L_log_housing_wealth
.0099767791,dummy_mort,L_log_income
.0020118046,dummy_mort,L_log_mortgage
.2012435,dummy_mort,L_housing
-.042456795,dummy_mort,L_WHtM
-.036037333,dummy_mort,L_PHtM
.63292313,dummy_mort,L_dummy_mort
-.0051491656,dummy_mort,age
.00019336608,dummy_mort,age2
-2.1842675e-06,dummy_mort,age3
.74527591,dummy_mort,bought
-.033929959,dummy_mort,_cons
