	PHtM	WHtM	H	logC	logHW	logY	logLW	logM	
L_PHtM	  .3915211	 .06914853	-.00435692	 .05285531	 .16755086	 .02206224	-.08241651	-.16916704	
L_WHtM	 .07507212	 .40162179	-.04592871	 .04493867	-.86793947	 .06617122	-.38094077	-.10645463	
L_housing	-.37308773	 .28576729	 .86258888	 .09530485	 4.9008064	  .0416919	-.00469311	 1.9172488	
L_log_consumption	 .00732179	 .01780799	 -.0008761	 .49818754	 .02811805	 .32009634	  .1219065	 .05637652	
L_log_housing_wealth	-.00353373	-.00814158	 .00605456	 .00592849	 .50812221	 .00420836	 .08496416	 .02848941	
L_log_income	-.01352698	 -.0091886	 .00444068	 .08345705	 .06969839	 .38455114	  .3235459	 .13303532	
L_log_liq_wealth	-.00106757	-.00032588	 .00026179	 .01416354	 .02835353	 .04154058	  .4462229	 .00655031	
L_log_mortgage	 .00001902	 .00259528	 .00250414	 .00452872	-.00086943	 .01621224	 .00149993	 .66618997	
_cons	 .11494366	 .13216622	-.02829704	 3.2627277	  .6533075	  1.483593	-.12030878	-1.9114661	
age	 .02604534	-.02240827	-.00325953	 .03774203	-.18855979	 .11543216	 -.0838906	-.01118827	
age2	-.00052589	 .00060548	 .00011566	-.00075488	 .00500097	-.00251716	 .00125899	 .00103891	
age3	 3.346e-06	-5.065e-06	-9.502e-07	 4.272e-06	 -.0000373	 .00001728	-2.969e-06	-.00001574	
bought	-.57393092	 .47566706	 .99823022	  .1925965	 9.6559591	 .22911349	 .53792018	 8.2055712	
