	PHtM	WHtM	mort	logC	logHW	logY	logLW	logM	
L_PHtM	 .40377966	  .0381148	-.01208062	  .0347084	 .05157076	-.01381526	-.25021872	 .07254651	
L_WHtM	 .01633984	 .40366295	-.02629093	 .04237813	-.26479211	 .04760453	-.47229522	-.07368142	
L_dummy_mort	-.03358742	-.47149384	 .76410013	-.16977473	-.24662519	-.35879937	-2.0383501	 .15962207	
L_housing	 -.4384535	  .3802866	 .07093076	 .11908583	 6.7527018	 .01368064	 .36879602	 .62349784	
L_log_consumption	  .0050871	 .01607716	-.00128104	 .49681333	 .04202165	 .31596053	   .107896	 .01313804	
L_log_housing_wealth	-.00016819	-.01001207	 .00045344	 .00524441	  .4188599	 .00616245	 .07104834	  .0175237	
L_log_income	 -.0108373	-.01326148	 .00088384	 .08220172	 .03436919	 .38086355	 .31574401	 .02812325	
L_log_liq_wealth	-.00070374	-.00563887	-.00246586	 .01236115	  .0243325	 .03751115	 .42599681	-.00185688	
L_log_mortgage	 .00318633	 .04322545	 .00787579	 .01880252	-.03227345	 .05036611	 .16998719	  .8403582	
_cons	 .14665705	 .19324361	 .05137438	 3.3034279	 .90823954	 1.5847216	 .29387739	-.74010515	
age	 .02052413	-.01749975	-.00202245	 .03856861	-.15595509	  .1174424	-.08174004	 .02206201	
age2	-.00036947	 .00047084	 .00006686	-.00077747	 .00388962	-.00257267	 .00121314	-.00032239	
age3	 2.121e-06	-4.040e-06	-7.828e-07	 4.438e-06	-.00002868	 .00001775	-2.795e-06	-6.259e-07	
bought	-.64648765	 .53129011	 .03522461	 .18264399	 10.627261	 .06736977	 .63639295	 .39083639	
new_mort	 .02532971	 .00194691	 .95293927	 .01147214	-1.3181663	 .21295664	-.14049976	 10.508084	
sold	 .60002673	-.50382775	-.67085779	-.15553808	 -10.25797	-.23998435	-.75642228	-7.4695935	
