	PHtM	WHtM	mort	H	logC	logHW	logY	logLW	logM	
L2_PHtM	  .2198735	 .05139074	-.03638198	-.01872375	 .00789415	-.11076793	-.03857266	-.21637081	-.30931807	
L2_WHtM	 .01911656	 .21667649	-.01315841	-.00804241	-.00110439	-.17669897	 .01129648	 -.2445588	-.03284342	
L2_bought	 .03196311	 .01035768	 -.0156756	-.03861452	-.03301991	-.55768144	-.08527759	  -.284385	-.09659669	
L2_dummy_mort	-.06080616	-.19273855	   .136871	-.02678981	 .03128728	 .11648525	 .00239754	-.06949557	-.79217064	
L2_housing	 .13951306	-.12046503	-.17450185	-.01064628	-.00908442	-1.0183219	-.25726402	-.30335921	-2.1164494	
L2_log_consumption	 .00646665	 .01059459	-.00021083	-.00137917	 .20988064	-.00862645	 .08673255	 -.0750688	-.00353381	
L2_log_housing_wealth	-.00126744	-.00182799	-.00010429	 .00118808	 .00320949	 .14697213	 .00296413	 .02603914	 .00172947	
L2_log_income	 -.0026054	 -.0068176	 .00406882	 .00133053	 .03958077	 .03189217	 .19210887	 .11844718	  .0510676	
L2_log_liq_wealth	-.00089924	 .00021058	-.00207739	 .00085831	 .00150219	 .02515283	 .00909018	 .21877788	-.00967851	
L2_log_mortgage	 .00545948	 .01807733	 .00786278	 .00159257	-.00136681	-.02718816	 .00698897	 .00330124	 .30535886	
L2_underwater	-.08229338	 .02782703	 .00519728	 .10374535	 .08760482	 2.1283906	 -.0374135	 -.0314075	-.07668127	
L_PHtM	 .31725401	 .01231736	-.01760393	 .01291617	 .01352997	 .20378369	-.01039835	-.17119126	-.06904586	
L_WHtM	 .01799372	 .29899859	-.03515006	-.02524008	 .02934941	-.43562004	 .03569692	-.27019152	-.29574031	
L_bought	 .10001713	-.07905164	-.03718776	-.09135988	 -.0224693	-.93932992	-.18679839	-.47834226	-.52426541	
L_dummy_mort	-.01034463	-.21230805	 .53451437	 .09485156	-.06684283	 .84956324	-.15907589	-1.3592564	-.71327388	
L_housing	-.42258978	 .37807879	 .29032084	  .9064635	 .09956526	 5.5462861	 .20504008	 .52229446	 3.2724042	
L_log_consumption	 .00441498	 .01155827	 -.0002177	-.00115855	 .40978169	 .01299304	 .22658671	 .04932997	 .01349152	
L_log_housing_wealth	-.00172452	-.00405521	 .00101308	 .00316874	 .00138753	 .41556624	 .00218339	 .03849453	  .0202346	
L_log_income	-.00933295	-.00797086	 .00724933	 .00354452	 .04656173	 .04904157	 .33025888	 .21744189	 .09198377	
L_log_liq_wealth	-.00069399	-.00446816	-.00256069	 .00067445	 .00900531	 .02685253	 .02454951	 .33387342	-.01525734	
L_log_mortgage	-.00048372	 .02132565	 .00122575	-.00586124	 .00749593	-.07292113	 .02172082	 .10514096	 .61222643	
L_underwater	 .04014784	 .04217681	-.17613438	-.08355893	-.03892217	 .70629346	 .07828277	-.29951024	 -1.912444	
_cons	-.14522986	  .1273203	  .0716262	-.03051538	 2.4543121	 .85741675	 .32517847	 2.1545868	-.36568311	
age	 .03410904	-.01878688	-.00939084	-.00142293	  .0204056	-.17920728	 .11325236	-.17064132	-.06169634	
age2	-.00071798	 .00051126	 .00026169	 .00005211	-.00048018	 .00442339	-.00255116	 .00324634	 .00187102	
age3	 4.863e-06	-4.283e-06	-2.460e-06	-4.113e-07	 2.882e-06	-.00003198	 .00001789	-.00001851	-.00001939	
bought	-.63568711	 .56002527	 .72874337	 .99815011	 .17386849	 9.6865616	 .21280204	 .53475064	 8.1881952	
