pid,housing,log_consumption,log_liq_wealth,log_housing_wealth,log_income,age,age_sq,cons
4034,0,9.5761719,.84881777,0,9.307085,23,529,1
4035,0,8.9557228,7.3418975,0,9.6745176,22,484,1
4038,0,9.4901037,3.1074433,0,10.222929,22,484,1
4180,0,10.363554,1.257102,0,8.9259052,22,484,1
4195,0,10.135027,9.7576952,0,11.210274,28,784,1
4196,0,9.9398136,7.9666004,0,11.508284,26,676,1
4201,0,9.5262327,2.1051712,0,10.762138,29,841,1
5031,0,10.346013,6.310317,0,9.9903173,22,484,1
5175,0,8.3829689,.51164478,0,9.85501,24,576,1
5181,1,10.22803,5.8448405,9.3898335,11.112061,27,729,1
6032,0,8.8836689,4.5223117,0,9.8539133,24,576,1
6033,1,9.6749096,6.386848,6.1402712,10.656055,25,625,1
6034,0,9.447938,7.4230304,0,10.028888,27,729,1
6174,1,9.4429207,7.6760154,7.3330207,11.102114,25,625,1
7031,0,10.111771,.82933134,0,11.552353,27,729,1
7034,0,9.5684099,.84881777,0,7.9207907,24,576,1
7035,0,8.3404942,.84881777,0,11.400348,23,529,1
7038,0,9.0150499,-1.0778785,0,8.890028,23,529,1
7184,0,8.2595577,.84881777,0,10.956161,29,841,1
7185,0,9.2281427,.84881777,0,11.554334,27,729,1
7187,0,9.8631477,.82933134,0,10.719723,26,676,1
7194,1,10.049679,8.685461,8.1946669,8.888648,22,484,1
10030,0,9.5938931,8.8335752,0,11.246292,28,784,1
10031,0,9.6558142,3.9754832,0,11.149623,25,625,1
13031,0,8.647274,6.5334606,0,9.7609043,22,484,1
13178,0,10.004423,6.9828677,0,10.94072,24,576,1
14031,0,9.6619396,7.5030684,0,11.319194,23,529,1
16173,0,9.5653744,2.5910866,0,9.3256502,27,729,1
16175,0,9.6747189,-1.0411229,0,10.306666,23,529,1
16176,1,8.9968071,8.1428986,8.1305561,10.755786,25,625,1
18030,0,9.604003,6.8005462,0,11.273171,26,676,1
18035,1,10.177199,-.85637671,9.1936455,10.870767,25,625,1
18036,1,9.9902802,8.0288696,9.5115595,10.929173,25,625,1
18209,1,9.9943657,5.1826706,6.5295596,10.702848,30,900,1
19171,0,8.0900249,5.4848509,0,10.314305,29,841,1
23030,0,8.631958,6.2625098,0,10.481397,29,841,1
23031,0,10.341685,-1.1712694,0,10.592923,28,784,1
39030,0,9.055665,7.4936938,0,10.601997,28,784,1
39171,1,9.7215166,10.303712,11.253428,12.261178,27,729,1
40030,1,9.9989986,5.2991366,7.6935563,11.058477,29,841,1
40032,0,9.2473574,5.389812,0,10.001833,23,529,1
40034,0,9.0584431,7.757236,0,10.194483,22,484,1
40035,0,8.874507,1.342442,0,10.718202,23,529,1
40036,0,9.2252417,3.8881259,0,8.66117,23,529,1
40174,0,9.1715384,-1.1712694,0,10.355219,26,676,1
40181,1,9.504077,10.830556,8.2518616,10.551054,24,576,1
40190,0,9.5179338,-1.9121432,0,7.9722562,24,576,1
41031,1,10.282305,6.4470701,10.531111,11.226356,22,484,1
41177,0,8.4541483,1.2938576,0,9.8551035,26,676,1
41180,0,9.3130884,4.0825067,0,10.446276,22,484,1
41184,1,9.8565779,7.051477,7.5911202,9.9300823,24,576,1
41194,0,9.4420433,-.22980933,0,10.72804,30,900,1
41196,1,9.1719608,4.4879723,6.3593864,9.9877615,24,576,1
41203,0,8.5688267,1.342442,0,10.731761,24,576,1
46174,0,9.5079565,1.2938576,0,10.735661,23,529,1
47037,0,9.9711981,6.7506247,0,9.0886583,22,484,1
47174,1,9.7301826,6.8956103,8.5004988,10.673733,30,900,1
47175,0,8.9572363,7.2705503,0,10.621931,27,729,1
47176,1,9.3095856,4.5888114,6.1842546,10.364239,29,841,1
47182,1,9.3524933,7.6930146,7.7896838,10.572525,22,484,1
50030,0,9.9682102,4.0507746,0,9.7450466,25,625,1
53030,0,9.4249678,11.745888,0,11.755263,22,484,1
53031,1,9.674964,8.1207514,8.8640413,11.357577,23,529,1
53035,0,7.5735531,6.2052693,0,9.0898075,26,676,1
53236,0,9.8190212,1.7902784,0,11.605211,25,625,1
57184,0,9.1998816,3.1747229,0,10.214473,23,529,1
57185,0,8.4832773,3.3167601,0,10.612632,28,784,1
60033,1,9.3025999,5.9543085,4.2799444,9.6008272,26,676,1
60181,1,10.365594,8.5956211,8.2403765,9.4956236,28,784,1
61030,0,7.9602122,6.1165481,0,9.7174683,22,484,1
61031,0,8.3517551,5.7478642,0,9.1249695,23,529,1
61173,1,9.7064943,5.6172442,6.8733983,10.509418,26,676,1
61175,0,9.4749756,6.6553144,0,10.715603,24,576,1
79031,0,9.5280371,7.5287399,0,10.014906,23,529,1
79032,0,9.1387653,-3.4307323,0,9.7583866,23,529,1
84032,0,9.46663,9.4719973,0,11.681002,25,625,1
84183,0,10.002306,6.8213167,0,11.170334,25,625,1
88033,0,8.7888279,5.3649921,0,9.0709381,25,625,1
88035,1,9.5887012,9.4173613,10.029572,10.742027,22,484,1
88189,0,9.3539743,4.2222691,0,10.5936,26,676,1
88191,1,9.994709,5.541327,6.9787617,10.243827,27,729,1
89032,0,11.320484,-1.0411229,0,9.4051399,23,529,1
89033,0,9.9428625,2.4547446,0,10.269748,26,676,1
89034,0,8.9147978,4.5386734,0,10.168343,23,529,1
89174,0,9.7529831,5.8403134,0,10.213461,23,529,1
89179,0,9.5871916,2.9190488,0,10.720485,23,529,1
89181,0,10.033282,7.1379623,0,10.22578,26,676,1
91030,1,10.507958,7.9561629,8.5223074,10.505411,26,676,1
96175,0,9.8997345,7.8719478,0,10.812209,29,841,1
105030,0,9.8484154,3.9949696,0,9.7695036,24,576,1
105031,0,9.4707222,9.2568655,0,10.999055,22,484,1
105034,0,7.9483752,1.9553952,0,10.601391,22,484,1
105035,0,8.8802299,9.6247854,0,11.022256,22,484,1
105180,0,9.5880795,1.9553952,0,10.746427,22,484,1
105182,0,10.270181,2.2301965,0,11.068132,25,625,1
105183,0,9.5784254,2.2301965,0,11.086482,22,484,1
106173,0,9.7672977,1.9748821,0,10.517366,29,841,1
113031,0,10.126535,8.6275711,0,10.667514,28,784,1
113172,0,9.4111547,4.6802826,0,10.753107,26,676,1
114175,0,9.6332407,3.2415519,0,10.022185,24,576,1
114178,0,9.5101423,4.6374583,0,9.9356155,29,841,1
119031,0,7.8724098,-1.0411229,0,9.4326773,23,529,1
121033,0,8.7909288,8.375556,0,9.7856979,22,484,1
121174,1,9.4121675,4.3042397,-1.6779169,10.715635,22,484,1
121175,1,9.4840612,6.4076223,8.1389961,10.235508,24,576,1
121176,0,9.3190632,-.22980933,0,9.7611332,24,576,1
122175,1,9.5369024,4.7439218,-2.5416203,10.227899,26,676,1
122176,1,9.5892992,.97896427,11.031068,11.058825,30,900,1
126030,0,9.0034904,8.6758585,0,10.346448,23,529,1
127030,0,9.0987625,2.7293191,0,9.9985437,26,676,1
127031,1,9.4652338,4.1996255,9.2702713,9.5047789,25,625,1
127032,0,9.6394777,6.4573383,0,10.543514,25,625,1
127172,1,9.9457502,6.3214531,8.612402,11.07295,30,900,1
128030,0,8.8612633,6.9699297,0,9.0026493,23,529,1
129031,0,8.2120218,1.1637111,0,10.35107,23,529,1
129038,0,9.4147778,1.1442242,0,10.167089,23,529,1
129196,0,9.4309492,1.1637111,0,10.360621,29,841,1
129202,0,8.9538727,6.1340189,0,9.0513821,23,529,1
129206,0,8.6538219,4.2308755,0,10.143039,30,900,1
129209,0,10.687948,.085083447,0,10.213067,26,676,1
131030,0,9.1737804,1.1637111,0,11.003076,30,900,1
133174,0,10.003871,2.1050286,0,10.586476,25,625,1
138031,0,10.22696,6.836256,0,10.11721,27,729,1
145030,0,8.6386414,6.3404217,0,9.9072971,24,576,1
151035,0,8.5839167,4.8481793,0,8.1091881,22,484,1
151037,0,9.2533617,6.3106303,0,10.05633,23,529,1
151176,0,10.387798,10.146497,0,12.005945,28,784,1
151182,0,10.070116,9.3559561,0,11.398952,29,841,1
156030,1,9.6654825,7.7201514,9.7909737,11.337297,30,900,1
165031,0,8.6693802,1.6293035,0,9.7896624,24,576,1
165176,0,9.6384125,3.9764814,0,10.475557,28,784,1
166030,0,9.6266146,7.1099429,0,9.5929518,30,900,1
