age,log_consumption,log_liq_wealth,log_housing_wealth,log_income,log_mortgage,WHtM,PHtM,housing,consumption,liq_wealth,housing_wealth,income,mortgage,log_housing_wealth_if_owner
22,9.3286934,4.7437921,0,10.070867,0,0,1,0,11117.45,110.1065,0,23120.787,0,10.025156
23,9.4553061,4.814218,0,10.171164,0,0,1,0,12301.931,250.90765,0,25633.666,0,9.9168243
24,9.4192905,4.8175969,0,10.289824,0,0,1,0,11958.742,352.74069,0,28808.645,0,9.8531799
25,9.520731,5.0999441,0,10.398975,0,0,1,0,13458.607,600.72559,0,32417.148,0,9.8108521
26,9.5614748,5.2817125,0,10.460801,0,0,1,0,13963.011,627.26917,0,37037.773,0,10.072199
27,9.6236324,5.584331,0,10.595712,0,0,1,0,15381.565,760.72009,0,40934.801,0,10.113236
28,9.6585979,5.7215152,0,10.642692,0,0,1,0,15496.954,760.72009,0,41512.672,0,10.097773
29,9.7027054,6.0494704,0,10.698622,0,0,0,0,16078.676,1086.7429,0,46996.031,0,10.242032
30,9.7229567,5.8205662,0,10.737074,0,0,0,0,16442.125,1058.1448,0,46314.656,0,10.27468
31,9.7449045,6.0235882,0,10.810648,0,0,0,0,17466.529,1043.1714,0,51612.348,0,10.388837
32,9.8112011,5.9700689,0,10.810048,0,0,0,0,17739.172,1101.0649,0,51474.785,0,10.462682
33,9.8235312,6.1885357,0,10.862823,0,0,0,0,18307.283,1093.8665,0,55339.301,0,10.483534
34,9.8134289,6.154686,0,10.905573,0,0,0,0,17754.615,1032.261,0,52513.426,0,10.61907
35,9.8622513,6.5317063,.12564838,10.963626,0,0,0,1,18964.295,1254.5383,0,60444.344,0,10.650394
36,9.8676043,6.4728203,0,10.927298,0,0,0,0,18791.891,1453.8689,0,56523.512,0,10.759807
37,9.9001932,6.3920178,.57064521,10.964675,0,0,0,1,19657.139,1175.8024,0,60314.234,0,10.787296
38,9.8871088,6.4137268,.48605907,10.967264,0,0,0,1,19043,1100.9899,0,58790.117,0,10.859653
39,9.9213371,6.6347094,8.3285141,10.992547,0,0,0,1,20272.861,1317.6024,3298.4878,61359.242,0,10.855091
40,9.8900967,6.6232367,7.7852979,10.977938,0,0,0,1,19509.732,1630.1144,2064.522,61110.398,0,11.043842
41,9.9237385,6.5396137,8.3627748,11.066344,0,0,0,1,20230.004,1201.4512,4703.2095,64907.781,0,10.958926
42,9.9150066,6.815383,9.6486673,11.011345,0,0,0,1,19968.918,1421.1248,12008.966,61089.367,0,11.10759
43,9.930459,6.7546825,9.5678654,11.055264,0,0,0,1,20380.779,1313.0422,12987.37,64561.75,0,11.092976
44,9.9177437,6.8981714,9.8830967,11.00408,0,0,0,1,19765.949,1477.8413,16838.504,62045.008,0,11.115066
45,9.9497366,6.7235608,9.981226,11.064247,0,0,0,1,20541.615,1317.6024,17892.305,65367.473,0,11.20466
46,9.9455948,6.7082672,10.104403,11.053993,8.0427809,0,0,1,20031.805,1453.8689,21734.859,63192.109,8154.499,11.210508
47,9.9396105,6.8608494,10.410725,11.069489,0,0,0,1,20236.676,1754.1731,28920.816,65198.742,0,11.401914
48,9.9259949,6.9567461,10.40323,11.049422,0,0,0,1,19658.365,1789.2306,23290.129,65484.84,0,11.315652
49,9.9383402,6.6341538,10.465301,11.06889,0,0,0,1,20024.922,1410.9628,26169.641,62970.094,0,11.410516
50,9.9082317,6.9894381,10.507247,11.076172,0,0,0,1,19812.285,2064.5093,30108.92,63455.75,0,11.316591
51,9.9342442,6.9866705,10.645506,11.067493,0,0,0,1,20052.895,2119.0039,32296.508,64310.375,0,11.501842
52,9.8570414,7.1394024,10.754604,11.068935,7.9969091,0,0,1,18667.73,2302.7813,37636.148,65008.965,10177.083,11.48175
53,9.8771439,7.3200331,10.858322,11.049743,0,0,0,1,19383.561,2156.7593,41290.438,64286.832,0,11.552135
54,9.8472414,7.2466154,10.862762,11.05813,6.9015594,0,0,1,18917.789,2635.2048,45418.93,65078.602,2752.4746,11.512195
55,9.8705177,7.2166529,10.899625,11.058167,0,0,0,1,19123.666,2509.0767,41153.082,66877.969,0,11.54244
56,9.851717,7.4031491,11.042402,11.045799,7.5141115,0,0,1,18547.828,3260.2288,54774.242,66550.203,3612.8882,11.560431
57,9.8690758,7.360827,11.001833,11.024484,0,0,0,1,18929.264,2509.0767,46795.262,62074.973,0,11.569292
58,9.8272285,7.7155085,11.245831,11.022679,0,0,0,1,18335.861,3415.1882,60145.195,62872.367,0,11.742014
59,9.8117685,7.6968164,11.170618,10.972333,0,0,0,1,18834.436,3281.5991,56753.719,63517.219,0,11.62381
60,9.8043575,7.7226496,11.328626,10.970094,0,0,0,1,18494.379,3504.2324,65862.523,60965.234,0,11.776995
61,9.8035326,7.8453794,11.222316,10.940503,0,0,0,1,18426.166,4129.0439,58070.137,59345.094,0,11.718513
62,9.7939501,7.9703102,11.437467,10.931691,0,0,0,1,18519.672,5161.3047,73785.734,57994.047,0,11.862129
63,9.7513409,8.0432901,11.271255,10.833921,0,0,0,1,18307.695,5947.7124,66059.391,55005.273,0,11.748333
64,9.8093138,8.2995787,11.476291,10.931431,0,0,0,1,18891.939,6851.5322,79056.141,57731.895,0,11.85054
65,9.7497149,7.8989062,11.368765,10.804924,0,0,0,1,17596.395,4767.2456,70548.141,50460.945,0,11.833419
