	log_consumption	log_liq_wealth	log_housing_wealth	log_income	log_mortgage	housing	WHtM	PHtM	dummy_mort	bought	
log_consumption	 .28413679	-.07063462	 -.0189955	-.11601587	-.00694361	-.00019825	 -.0035081	  .0011581	  .0006116	-.00080025	
log_liq_wealth	-.07063462	 5.0537077	-.13809829	-.28631519	-.15426476	 .00529555	 .32222322	 .23922795	 .01377427	 .00284629	
log_housing_wealth	 -.0189955	-.13809829	 3.6137214	-.02676728	 .12354323	-.12659124	 .02056054	-.00783657	-.00627881	 .00818716	
log_income	-.11601587	-.28631519	-.02676728	 .91771757	 -.0172129	-.00020077	-.02033048	-.01570837	 .00097985	 .00036102	
log_mortgage	-.00694361	-.15426476	 .12354323	 -.0172129	 .49866276	 -.0055127	-.02194535	-.00378834	-.04322412	 .00149217	
housing	-.00019825	 .00529555	-.12659124	-.00020077	 -.0055127	 .01129379	-.00469012	 .00549068	-.00024267	-.00713199	
WHtM	 -.0035081	 .32222322	 .02056054	-.02033048	-.02194535	-.00469012	   .077734	 .01737809	 .00204203	-.00008293	
PHtM	  .0011581	 .23922795	-.00783657	-.01570837	-.00378834	 .00549068	 .01737809	 .05166086	 .00028119	  .0005252	
dummy_mort	  .0006116	 .01377427	-.00627881	 .00097985	-.04322412	-.00024267	 .00204203	 .00028119	 .00401558	-.00012026	
bought	-.00080025	 .00284629	 .00818716	 .00036102	 .00149217	-.00713199	-.00008293	  .0005252	-.00012026	 .01669974	
