	H	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 .86797786	 .05028425	 4.9414968	 .08673948	 2.4181006	 .02556035	 .23438857	-.34082842	 .32085586	
L2_logC	-.00162223	 .52884424	 .02671407	 .07135016	 .01995852	 .24647699	-.00372229	 .02225885	 .02500166	
L2_logHW	 .00555375	 .00540621	 .49347872	 .07489416	 .03084221	 .00606021	 .00165461	-.00404643	-.00849258	
L2_logLW	 .00049971	 .00627588	 .02483014	 .39497349	 -.0091889	 .03060235	-.00261995	-.00466594	-.00361606	
L2_logM	-.00523411	 .02127482	-.09619398	 .16773492	 .80034435	 .06719673	 .00538578	 .01208956	 .02833875	
L2_logY	 .00658461	 .09036194	 .10277189	 .49380958	 .16820914	  .3448078	 .01128739	   -.01018	-.01003495	
L2_mort	 .08710271	-.21795546	 1.1016588	-1.9783319	-1.7927459	 -.6370033	 .57331812	-.14633971	-.30022991	
L2_phtm	-.00151104	 .04605058	 .12481067	-.40705901	  -.227421	 .10213988	-.03535315	 .36191249	 .04368323	
L2_whtm	-.03455209	 .02554287	-.76855636	-.58257425	-.24767829	 .04052245	-.03739123	 .05161877	  .3614257	
_cons	 .01708172	 2.8068349	 1.4856355	 .82055479	-2.4098489	 3.4124055	-.06363881	-.20146798	 .08091995	
age	-.00831395	 .04876244	 -.2759726	-.20078553	  .0387206	 .06068208	 .00022395	 .03683101	-.02032443	
age2	 .00024401	 -.0009523	 .00720321	 .00389812	-.00034518	-.00109051	 .00005051	 -.0007795	 .00056569	
age3	-2.006e-06	 5.522e-06	-.00005529	-.00002248	-4.172e-06	 6.166e-06	-1.004e-06	 5.275e-06	-4.899e-06	
just_bought	 .99903965	 .10865765	 9.4676037	 .37950885	  8.707963	 .14218104	 .78270221	 -.5413962	 .48043612	
