	H	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 .80500042	-1.2310646	-.09041516	 7.9238839	 8.0503874	-.10731692	 .59305727	-.94767863	-.49876332	
L2_logC	-.06050123	 .47061399	-.61704451	 .37991768	-.77209675	-.00006433	-.06616009	-.03278475	-.01771631	
L2_logHW	 .01174963	 .13135026	 .95131987	-.78799933	-.69704193	 .00956433	-.05100502	 .07765137	 .06035598	
L2_logLW	 .00800787	 .00414309	 .07998583	 .39394486	 .13447084	-.00091089	 .01173076	-.01343375	-.00934224	
L2_logM	-.02695443	-.02863653	 -.2197639	 .43108702	 .52361125	 .00153719	 -.0232398	 .00968358	-.05793399	
L2_logY	 .09105837	 .39108953	 1.0051565	 1.1863151	 1.4238553	 .89004779	 .10656215	 -.0605226	-.03277995	
L2_mort	 .21947131	 .20651594	 1.7357599	-4.1717172	 2.3723865	 .01351963	 1.0379324	-.07746451	 .55426478	
L2_phtm	-.07513373	-.01654267	-.69498032	-.94398803	-.74500984	 .01387807	-.06379057	 .55465293	-.13950577	
L2_whtm	 .03615063	 .02709917	 .34742439	-.66391331	 .40081745	-.00130238	 .03785663	-.09281481	 .48100367	
_cons	-.02680494	 1.0246229	-.64721006	-20.260105	 8.2153673	 1.1386687	 .98717338	 .83151966	 1.5228484	
age	-.01365125	 .01409421	-.17051579	 .64046937	-1.1057018	 .00745175	-.10556587	  .0265431	-.06925175	
age2	 .00025819	-.00017724	  .0032523	-.01577935	 .02733319	-.00017608	 .00261556	-.00050391	 .00180748	
age3	-2.022e-06	-9.101e-07	-.00002384	 .00012996	 -.0002229	 9.463e-07	-.00002123	 2.549e-06	-.00001528	
just_bought	 .84934956	 .22152641	 8.3367033	-4.2422223	 9.7392368	  .3439275	 .78530389	-.17302646	 .70778859	
