	H	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 .84468293	-.90870285	 .09174533	 5.4061313	 5.4136095	 -.0136045	 .30724594	-1.0130467	-.31916043	
L2_logC	-.04945181	 .48330322	-.51769042	-.08553626	-.58843136	-.00690499	-.04778999	 .00449948	 .00472777	
L2_logHW	-.00226215	 .10442959	 .83124948	-.47227147	-.59173959	 .00551703	-.03696947	 .06425106	 .04865763	
L2_logLW	 .00735972	-.00194398	 .08170629	 .54798269	 .11584067	-.00151927	 .00832016	 -.0209138	-.03246514	
L2_logM	-.02099751	-.02974452	 -.1598447	 .37877086	 .66029638	  -.001129	-.00937863	 .02493837	-.06232361	
L2_logY	 .07199162	 .39793119	 .78942662	 1.2252502	 1.0991191	 .90187711	 .07718872	-.09522675	-.00926608	
L2_mort	 .16959736	 .21312374	 1.2203745	-3.5056574	  1.338944	 .02122633	 .93396008	-.20546399	 .57302004	
L2_phtm	-.16957517	 .02012135	-1.6612587	 .05723407	-1.7184682	 .03873194	-.15449551	 .39639279	 -.3007628	
L2_whtm	 .03387977	-.02824764	 .37331739	-.24122977	 .67383748	-.00913375	 .05384712	-.13986452	 .29826412	
_cons	 .05014337	 .90066057	 .23433129	-20.472898	  13.78432	 1.1558989	 1.4973333	 2.2371142	 1.1473305	
age	-.00879521	 .01192844	-.10482908	 .89516431	-1.3717656	 .00105827	 -.1307229	-.06357295	-.06163931	
age2	 .00020571	-.00016638	 .00232463	-.02489199	 .03452608	-.00003468	 .00329187	 .00163556	 .00171959	
age3	-1.800e-06	-7.648e-07	-.00001863	 .00022066	-.00028011	-1.019e-07	-.00002662	-.00001336	-.00001546	
just_bought	 .80413932	 .33688694	 7.9197783	-1.6988459	 9.1330414	 .37504736	 .73734844	 -.3947705	 .67255878	
