	H	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	  .8676216	 .04439005	 4.9221845	 .05948499	 2.3930078	 -.0206484	 .23233709	-.34094915	 .31881517	
L2_logC	-.00290616	 .50456363	-.00326894	-.06931261	-.04913028	  .1531326	-.00827972	 .02352944	 .02448449	
L2_logHW	 .00554487	 .00463246	 .49411535	 .06923325	 .02937545	 .00479881	  .0015916	-.00402582	 -.0082721	
L2_logLW	 .00030544	 .00236083	 .02116377	 .37332904	-.01810016	 .01768174	-.00318503	 -.0045251	-.00349292	
L2_logM	-.00554414	 .01502642	 -.1033001	 .13428222	 .78384823	 .04786983	 .00426236	 .01225537	  .0283595	
L2_logY	  .0097712	 .15425645	 .16873023	 .85298246	 .33955002	 .56796956	 .02253878	-.01223604	-.01011535	
L2_mort	 .08999076	-.15814507	 1.1716939	-1.6566579	-1.6305257	  -.451958	 .58450407	-.14764099	-.30055839	
L2_phtm	-.00244822	 .02661876	 .10842642	-.52471048	-.27122557	 .03336038	-.03804652	 .36280909	 .04485135	
L2_whtm	-.03506491	 .01493511	-.77575421	-.63854051	-.26684302	 .01521789	-.03855108	 .05202784	 .36289418	
_cons	 .00630454	  2.610168	 1.2882501	-.27133346	-2.9303551	 2.7488952	-.09689466	-.19385448	 .08450456	
age	-.00888036	 .03561159	-.28718856	-.27293169	 .00463004	 .01910704	 -.0020971	 .03683558	-.02027711	
age2	 .00025537	-.00069637	 .00741933	 .00529959	 .00031454	-.00028554	 .00009604	-.00077836	 .00056556	
age3	-2.083e-06	 3.877e-06	-.00005668	-.00003146	-8.376e-06	 1.049e-06	-1.299e-06	 5.260e-06	-4.907e-06	
just_bought	 .99850535	 .09725194	 9.4753971	 .32905653	 8.6709499	 .09598984	 .78006911	-.54278123	 .48120725	
