	H	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 .82772201	 1.1195391	 .30079663	 14.302382	 -2.669338	-.04049364	 -.3335039	-.02568862	-2.6128333	
L2_logC	-.12277426	 .32743639	-1.1505128	-.04016983	  .6243211	 .00992759	 .05842107	-.08953473	 .21525022	
L2_logHW	-.00773532	-.03874097	 .73878533	-1.2666494	-.10864946	 .00193222	-.00038905	 .00512294	 .21565333	
L2_logLW	 .01499574	-.00539078	 .16706309	 .40181896	 .14131843	-.00107566	 .01106262	-.02083181	-.01951402	
L2_logM	-.09367707	-.21192026	-.88314331	 1.4059886	 1.6441752	 .00704345	 .07597214	-.15149555	 .07414784	
L2_logY	 .19401796	 .56108373	 1.9195579	 2.4405301	 .40862936	 .88383114	 .02908957	 -.0558838	-.36863059	
L2_mort	 .90600961	 1.8503566	 8.7155485	-16.454451	-9.7882652	 -.0525426	-.05279041	 1.5356692	-.49469385	
L2_phtm	-.30579144	 .04532267	-2.9311819	-1.0952567	-4.2729416	 .00007356	-.35208824	 .44497925	-.19435269	
L2_whtm	 .07193679	-.04023526	 .79699069	-.49701431	 .76973522	-.00281763	 .05981446	-.19221835	 .39114267	
_cons	 .17584974	 2.1255295	 1.0765102	-19.916054	 12.094388	   1.16868	 1.0521877	  3.634032	-.39568266	
age	 -.0494894	-.08873503	-.49188572	 .02280264	-1.4204208	 .00544481	 -.1219085	-.14317186	 .16793676	
age2	 .00121224	 .00238391	 .01182413	-.00658499	 .03483089	-.00013067	 .00296019	 .00396123	 -.0038246	
age3	-9.983e-06	-.00002097	 -.0000956	 .00009442	 -.0002778	 5.741e-07	-.00002339	-.00003405	 .00002782	
just_bought	 .70194358	-.08097915	  6.283834	-.88280946	 8.8131056	 .12733503	 .70830345	-.58889782	 .72731012	
