	H	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 1.1660535	 .60842425	 2.8488996	-8.3998365	-11.299644	 .03298932	-.15414122	 1.0807962	 .56207973	
L2_logC	-.23946792	 .46613759	-2.7545145	-4.5860634	 .04519494	 .01328411	 .03767933	-.26590154	 .74960667	
L2_logHW	 .00749277	-.00509965	 .94723827	 -.0312711	-.14204371	-.00124111	-.00704669	 .00959638	 .02060623	
L2_logLW	 .01526276	-.00854766	 .14559737	 .59798205	  .1933579	-.00376865	  .0165612	-.01197733	-.05519935	
L2_logM	-.06643479	  -.042632	-.60648215	 .90710819	  1.531245	 .00088713	 .05816839	-.11895409	-.07899315	
L2_logY	 .27481112	 .43468866	  3.112402	 6.2217884	 .17906944	 .87839758	-.02182738	 .17166522	-.80151331	
L2_phtm	-.35003403	  .0417451	-3.3039627	 .94663125	-4.7959137	 -.0089614	-.40530658	  .6187436	-.68278015	
L2_whtm	 .09380006	-.05436856	 .90421993	-.51141208	  1.484903	-.03142463	 .13440773	-.15095554	 .31236684	
_cons	 .15684719	 1.4072692	 1.4132404	-19.429985	 20.061842	 1.2731422	 1.8425952	  2.491601	 .69317651	
age	-.02254531	-.03270984	-.23024553	 .34213972	-1.4348093	 .00020186	-.12909506	-.10883337	 .04950314	
age2	 .00068098	 .00084789	 .00669637	-.01437169	  .0368454	-5.190e-06	 .00328918	 .00303134	 -.0008716	
age3	-6.668e-06	-7.749e-06	 -.0000641	 .00015229	-.00030129	-3.682e-07	-.00002665	-.00002646	 4.752e-06	
just_bought	 .79723179	-.11500523	 7.1995859	-2.4949243	  9.475955	 .13405046	 .80632991	-.66596323	  .9453041	
oL2_mort	         0	         0	         0	         0	         0	         0	         0	         0	         0	
