	H	c_to_y	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 1.3225634	 .60480696	-.10927942	 4.1497006	-7.1383281	 2.4184895	-.19579776	 .10601562	 -2.068054	 1.9150121	
L2_H_logC	 .28276122	-.28928348	-.12579189	  2.363837	-1.6487817	 6.4168949	-.03574784	 .54568505	-.32576388	  .3497462	
L2_H_logLW	-.02876272	  .0053352	 .00679137	-.27199498	-.39112175	-.46819264	 .00098532	-.03833076	 .09303297	-.02480753	
L2_H_logY	 -.3106752	 .30038351	 .25299311	-2.5365391	 4.3423429	-6.5581918	 .05179342	-.55983037	  .4612565	 -.8181445	
L2_logC	-.35923085	 .31817791	 .41435704	-3.1391642	 .90180439	-4.8033609	 .03767008	-.40269428	 .17163073	-.00910554	
L2_logHW	 .00391439	-.00855719	  -.057334	 .83215976	-1.5840936	 .07545902	-.00078682	 .01536755	-.02744031	 .28204435	
L2_logLW	 .03629009	-.00763229	-.01210908	 .36597538	 .63059419	 .49229294	-.00209956	 .03991762	-.08762842	 .00458365	
L2_logM	-.08515092	-.11536971	-.22231415	-.81291401	 1.2474134	 1.7912745	 .00541745	 .08848571	-.17287743	 .11067039	
L2_logY	 .43183491	 -.3533487	 .41970676	 3.8933308	 .33644131	 5.6199279	  .8501997	  .4726963	-.37217277	 .06188837	
L2_mort	 .85094094	 .58006608	 1.8865391	 8.2112913	-16.628315	-10.616771	 -.0478294	-.12104043	 1.7248731	 -.6280213	
L2_phtm	-.14256182	-.01864946	-.01804904	-1.4190238	 .30177253	-1.5867305	-.00951369	-.13073047	-.06321031	 .03259336	
L2_whtm	 .01925052	-.01925982	-.02440872	 .29388225	-1.2390412	-.02392385	-.00111278	-.00469965	-.00340465	 .33009714	
_cons	 .03965568	 1.7041852	 2.6441081	 .06028767	-10.822823	 11.854491	 1.2274191	 1.0290791	 4.4787054	-2.3456197	
age	-.05949876	 -.0403782	-.07935121	-.57920384	 .09598289	-1.5801221	 .00680836	 -.1352786	-.11282185	 .13429129	
age2	 .00143884	 .00113417	 .00220675	 .01382862	-.00732739	 .03853023	-.00015705	 .00326891	   .003285	-.00319243	
age3	-.00001169	 -.0000101	-.00001981	-.00011086	 .00009558	 -.0003062	 7.514e-07	-.00002575	-.00002902	  .0000237	
just_bought	 .68354267	 -.0966223	 -.0618354	  6.124063	-.71027857	 8.5294752	 .13003066	 .68454814	-.53082728	 .65819806	
