	H	c_to_y	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 2.7108393	 .17849487	 .26978278	 17.029673	-13.008533	 6.7153254	-.03258373	 1.3493388	-1.4842709	 2.7629509	
L2_H_logC	 1.0608723	 .06881344	 .31353441	  9.711854	  4.359231	 12.208723	 .14288686	  .8318367	-.99096417	 .14482875	
L2_H_logLW	-.03825282	 .00461383	 .01779573	-.34902272	 .39719376	-.54026598	 .00975979	-.04876808	 .08823705	-.13092507	
L2_H_logY	-1.1396953	-.04914975	-.28085518	-10.438073	-4.0238028	-13.065888	 -.1378146	-.90831655	 1.1352316	-.25709382	
L2_logC	-1.2584013	  .2073442	 .14512302	-12.080524	-8.9911995	-11.708071	-.12901808	-.75689816	 .66198915	 .64107531	
L2_logHW	 .03153666	-.00075398	-.00375862	 1.1674062	-.02530101	 .14435644	-.00041421	  .0146303	-.02199705	 .04293313	
L2_logLW	 .04198851	-.00720727	  -.022003	 .38948032	 .30547151	 .57167542	-.01096864	 .05105778	 -.0751363	 .03914904	
L2_logM	-.08227769	-.03343288	-.04891701	-.75136381	 .82438564	 1.3467438	-.00165585	 .04609989	-.10608412	-.07868247	
L2_logY	 1.3429519	   -.21495	 .73607898	 12.891608	 10.420695	 12.471696	 1.0175601	 .82060593	-.84575385	-.62224573	
L2_phtm	 -.0316631	 .01478419	-.01768322	-.39421943	-.59037346	-.65151966	 -.0422141	-.06080994	 .05028449	-.00353317	
L2_whtm	 .01900104	-.00614406	-.02431774	 .22180274	 .18947271	 .43607295	-.01430531	  .0413383	  .0141098	 .07181443	
_cons	 -.6290797	 1.1416993	 1.6135073	-5.7958322	-16.190088	 10.631876	 1.3318309	 1.0426972	 3.8763874	-.65881008	
age	 -.0433527	-.01869114	-.03200846	-.42123136	 .34110096	-1.6703941	-.00056026	 -.1474046	-.08047072	 .03294145	
age2	 .00107169	 .00049018	 .00083325	  .0102832	-.01433984	 .04125008	 9.656e-06	 .00363181	 .00249912	-.00056817	
age3	-9.355e-06	-4.352e-06	-7.736e-06	-.00008877	  .0001507	-.00033147	-5.058e-07	-.00002897	-.00002294	 2.941e-06	
just_bought	  .7724759	-.15188438	-.10090169	 6.9728737	-2.2443407	 9.1506176	  .1399125	 .77603614	-.60834938	 .86861354	
oL2_mort	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	
