	H	c_to_y	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .01677394	-.00778832	-.00487823	 .00805308	  .0160777	-.00749742	 .18453151	 .00244667	-.04689473	 .19228314	
c_to_y	-.00778832	 .01411152	 .00423205	-.01183146	-.01063404	   .015957	-.09418106	-.00279943	 .08357264	-.12259206	
phtm	-.00487823	 .00423205	 .03582433	-.00246581	-.00544866	-.00041514	-.05013964	-.00616781	-.22332413	-.06626649	
whtm	 .00805308	-.01183146	-.00246581	 .06381194	 .01001346	-.01776473	 .09903465	-.00279763	-.39687727	 .11339541	
mort	  .0160777	-.01063404	-.00544866	 .01001346	 .02679113	-.00970354	 .17733892	 .00313176	-.06381338	 .29753367	
logC	-.00749742	   .015957	-.00041514	-.01776473	-.00970354	 .04846619	-.09243289	 .01948344	 .17957012	-.11234902	
logHW	 .18453151	-.09418106	-.05013964	 .09903465	 .17733892	-.09243289	 2.0529778	 .02717927	-.63383823	 2.1128704	
logY	 .00244667	-.00279943	-.00616781	-.00279763	 .00313176	 .01948344	 .02717927	 .02219199	 .07695848	 .03663344	
logLW	-.04689473	 .08357264	-.22332413	-.39687727	-.06381338	 .17957012	-.63383823	 .07695848	 5.3887623	-.68624298	
logM	 .19228314	-.12259206	-.06626649	 .11339541	 .29753367	-.11234902	 2.1128704	 .03663344	-.68624298	 3.3499523	
