	H	c_to_y	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .00886503	 -.0006385	-.00479227	 .00557303	 .00890893	 6.381e-06	 .08457755	 .00089488	-.00441249	 .10349355	
c_to_y	 -.0006385	 .00170146	 .00268829	 .00060339	-.00066354	 .00151202	-.00714477	-.00090045	-.02516148	-.00960365	
phtm	-.00479227	 .00268829	 .02802194	-.00383897	-.00559843	-.00045549	-.04464911	-.00429668	-.16633431	-.06563383	
whtm	 .00557303	 .00060339	-.00383897	  .0366299	 .00328221	 .00050041	   .051572	 -.0003039	-.17434628	 .03847031	
mort	 .00890893	-.00066354	-.00559843	 .00328221	 .02013149	 .00006467	 .08458272	 .00088721	  .0227799	 .20351067	
logC	 6.381e-06	 .00151202	-.00045549	 .00050041	 .00006467	 .02326217	-.00036703	 .02094891	 .01376239	-.00076822	
logHW	 .08457755	-.00714477	-.04464911	   .051572	 .08458272	-.00036703	 .81449815	   .009667	-.03534731	 .98770608	
logY	 .00089488	-.00090045	-.00429668	 -.0003039	 .00088721	 .02094891	   .009667	 .02219791	 .04967147	 .01192857	
logLW	-.00441249	-.02516148	-.16633431	-.17434628	  .0227799	 .01376239	-.03534731	 .04967147	 2.8123173	 .26845818	
logM	 .10349355	-.00960365	-.06563383	 .03847031	 .20351067	-.00076822	 .98770608	 .01192857	 .26845818	 2.1543285	
