	H	c_to_y	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 .65253437	-338.42004	-.54071367	 .12583834	-.52564102	-.69052249	-.21711843	 .05577187	 .20727408	 .19731046	
L2_H_logC	-.00112718	 20.152056	 .08918502	 .10196742	 -.0617633	 .05618223	-.01477183	  .0003383	-.04133594	 .03841104	
L2_H_logLW	 .00138873	 6.0917659	-.00886328	 .04758481	-.02419451	-.03676602	 -.0171635	-.00311174	 .00123764	-.00666117	
L2_H_logY	 .02113988	 -5.413362	-.01885078	 .28333807	 .10101239	 .28713557	 .04662512	 .02110985	-.00350207	-.02366259	
L2_H_phtm	-.01126206	 118.75091	-.04083057	 .95830256	 .48750246	-.49532667	 -.0209275	-.05553362	-.20691998	 .07186311	
L2_logC	 -.0003501	 34.980934	 .48750976	-.00832581	 .09535833	-.00192621	 .25152737	-.00363022	 .04161192	 .00600561	
L2_logHW	 .00438582	  5.920856	 .00523722	 .51598591	 .09942646	 .01292747	 .00843599	-.00032374	-.01244311	-.00391223	
L2_logLW	 -.0001465	-3.8614275	 .01130075	 .00056324	 .40720096	 .01173362	 .03967256	-.00086853	-.00532703	-.00010552	
L2_logM	-.00785403	-.74267817	 .02128676	-.15965049	 .16366163	 .78274155	 .06900948	 .00465865	 .01670672	 .03011522	
L2_logY	-.00221207	-16.898077	  .0986555	-.01158883	 .44596899	 .04324439	 .32260028	 .00202377	 -.0087924	-.00038806	
L2_mort	 .11281388	 37.839939	-.21939023	 1.7694331	-1.9286962	-1.6415865	-.65932846	 .57807022	-.19906643	-.31600326	
L2_phtm	  -.002386	-69.357452	 .06934401	-.06726208	-.41679806	-.09248391	 .13779901	-.02253995	 .38240209	 .04840505	
L2_whtm	-.03118651	 52.998142	 .00909796	-.64066297	-.61460704	-.31375375	 .00919258	-.04354777	 .04817458	  .3501794	
_cons	  .0545011	 -213.3461	 3.0244331	 2.2213259	  .8787607	-1.6107887	 3.4935298	-.01384704	-.31507021	  .1451637	
age	-.00499484	 8.0824633	 .05290141	-.19963552	-.18912444	   .076805	 .06318563	 .00230744	 .02950071	-.02032496	
age2	 .00016982	 -.1394373	-.00105855	 .00548166	 .00363236	-.00121977	-.00115068	 2.752e-06	-.00060816	 .00055881	
age3	-1.472e-06	 .00088811	 6.378e-06	-.00004293	-.00002058	 2.319e-06	 6.631e-06	-6.474e-07	 4.017e-06	-4.812e-06	
just_bought	 1.0011503	-31.811319	 .11214384	 9.4843864	 .36902753	  8.738945	  .1424831	 .78508151	-.53962046	 .47826806	
