	H	c_to_y	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 1.5178802	 .42867756	 .46639448	 6.2504396	 11.797835	 10.707573	-.16481145	 .98696244	 -2.856425	 .39131427	
L2_H_logC	 .06821298	 .16079466	-.12821248	 .71162295	 .52088112	 1.6211905	-.02061032	 .10238258	-.05808671	-.02228637	
L2_H_logLW	-.01242211	 .00755654	 .01564312	-.12450882	 .07946935	-.08047248	 .00147603	-.00320753	 .02860079	-.02420009	
L2_H_logY	 -.1443578	-.30404305	  -.098842	 -1.373248	-.97377205	-1.7556216	 .02506471	-.13932911	 .27614754	-.08033888	
L2_logC	-.09485643	 .11300243	 .46129036	-.94863349	 .16672292	 -1.229564	 .00635369	-.10039371	 .02908648	-.03544765	
L2_logHW	 .03094848	 .11591857	 .18136327	 1.1194624	-.76538056	-.72900075	 .00911513	-.04775668	 .01753485	 .09777357	
L2_logLW	 .01433021	 .00336191	-.00069091	 .14213201	 .34485927	 .15335804	-.00142216	 .01210137	-.02993765	 .00517854	
L2_logM	-.01615294	 .00381909	-.02767476	-.11497018	 .48650157	 .66346616	-.00044389	-.01305579	-.01001673	-.05120292	
L2_logY	 .17406455	-.09297462	 .51304311	 1.7711494	 1.7031171	 2.1171505	 .87912506	 .17141968	-.24803375	 .03890337	
L2_mort	 .14009333	-.12535441	 .20886138	 .96262723	-4.5562415	 1.3292416	 .02826376	 .96321774	 .06565754	 .50416708	
L2_phtm	-.01342754	 .00534137	 .02032458	-.11310086	-1.0474838	-.51684135	 .00864092	-.04512725	 .39376536	-.02921195	
L2_whtm	-.00032832	  .0369063	 .04557578	-.00971184	-.52084285	 .18415101	 .00275577	 .02613246	-.00608645	 .41537109	
_cons	-.52253264	 .67212516	 .24118018	-5.1907945	-22.491562	 5.2002611	 1.1919304	 .67867869	 2.0464125	 .95107937	
age	-.01751133	-.01355496	-.00910416	-.20010208	 .60401714	-1.0780158	 .00728515	-.10641078	 .04091846	 -.0758618	
age2	 .00030368	 .00034009	 .00031235	 .00352742	-.01512779	 .02633978	-.00016655	 .00260428	-.00073713	 .00191553	
age3	-2.127e-06	-3.135e-06	-4.353e-06	-.00002369	 .00012645	-.00021309	 8.393e-07	-.00002095	 3.804e-06	-.00001591	
just_bought	 .82109344	-.11142485	 .17726663	 8.0780964	-4.3313704	 9.6056004	 .34656256	 .77071285	-.10064286	 .66963917	
