	H	c_to_y	logC	logHW	logLW	logM	logY	mort	phtm	whtm	
L2_H	 1.4203981	 .49016747	 .94083941	 5.1397219	 10.394629	 8.6255045	 .00223183	 .76382583	-2.8835711	 .49067643	
L2_H_logC	 .06456494	 .28701314	 .01988496	  .6250034	-.16238852	 1.7329156	-.01977277	 .12116644	-.08382345	 .13358997	
L2_H_logLW	-.01781124	 .01815959	 .02824419	-.17593472	 .01856781	-.26141337	 .00572999	-.02368953	 .08412834	-.06259808	
L2_H_logY	-.12177984	-.43618423	-.27233359	-1.1099508	-.49101821	-1.8661776	 .01277011	-.15617386	 .25869718	-.18609212	
L2_logC	-.08000091	 .10125066	 .42095545	-.79764837	-.19352716	-1.0771226	-.00319544	-.08807956	 .06956223	-.04421666	
L2_logHW	 .01712631	 .10446753	 .15835552	 1.0026066	-.30843878	-.50558865	 .00573597	-.02248093	-.00814678	 .08107866	
L2_logLW	 .01975833	-.00888359	-.02215298	 .20415148	 .53729475	  .2889145	-.00547067	 .02439352	-.08143839	 .01173782	
L2_logM	-.01002598	 .01999468	-.01164212	-.05877754	  .4192453	 .81314439	-.00253424	 .00408832	-.00530438	-.04166184	
L2_logY	 .13483337	-.05501546	 .59750885	 1.3454243	 1.6667837	 1.7461039	  .9011696	 .14134544	 -.2474084	 .06877172	
L2_mort	 .08599459	-.22667719	 .08265332	 .44915971	 -3.813117	 .20213248	 .03215125	 .83253109	 .03486896	  .4106589	
L2_phtm	-.05162219	-.04648822	-.03412123	-.52748811	 .21682061	-.28032571	 .01077102	-.01446133	-.12737796	   .057054	
L2_whtm	 .00174534	 .05560757	 .03231789	 .05248187	-.16185269	 .10545447	 .00251336	 .00625067	 .00069567	 .18416455	
_cons	-.32465333	 .36110407	 -.1340199	-3.0982802	-23.219908	  10.90326	 1.1615593	 1.1585608	 3.4222627	 .56396866	
age	-.01490875	-.00122298	-.00396718	-.15922295	 .84807515	-1.4079475	 .00112361	-.13574842	-.04165223	-.07207973	
age2	 .00032049	-5.810e-06	 .00012841	 .00334412	-.02395701	 .03503933	-.00003483	 .00337831	 .00119162	 .00192397	
age3	-2.540e-06	-1.942e-07	-2.725e-06	-.00002516	 .00021401	-.00028181	-1.169e-07	 -.0000271	-.00001025	 -.0000168	
just_bought	 .78487366	-.06448901	 .29837716	 7.7452106	-1.8132697	 8.9657621	 .37633926	 .71870834	-.32778159	 .63578874	
