	H	c_to_y	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .02679385	-.61590887	-.01434846	 .01223328	 .02076721	 .00264945	 .26727306	 .00400654	 .01484889	 .23115624	
c_to_y	-.61590887	 1585381.3	-4.5000957	-9.5731966	-.26122053	 7.4628492	-8.2058494	-350.66959	 -23.50547	-5.8635497	
phtm	-.01434846	-4.5000957	 .09674803	-.02126768	-.00809138	-.00289062	-.34114769	 .00072316	-.34413977	-.08468617	
whtm	 .01223328	-9.5731966	-.02126768	 .12447056	 .00636221	 .00086561	 .27984877	 .00629874	-.40268663	 .07743301	
mort	 .02076721	-.26122053	-.00809138	 .00636221	 .07804015	 .00334535	 .14168692	 .00846794	 .00556027	 .85047459	
logC	 .00264945	 7.4628492	-.00289062	 .00086561	 .00334535	 .17469174	 .04069836	 .04692722	 .09031686	 .04866016	
logHW	 .26727306	-8.2058494	-.34114769	 .27984877	 .14168692	 .04069836	 6.6401758	 .06596761	 .42070795	 1.4438708	
logY	 .00400654	-350.66959	 .00072316	 .00629874	 .00846794	 .04692722	 .06596761	 .36827086	 .24592665	 .12507437	
logLW	 .01484889	 -23.50547	-.34413977	-.40268663	 .00556027	 .09031686	 .42070795	 .24592665	 8.6218462	 .18265112	
logM	 .23115624	-5.8635497	-.08468617	 .07743301	 .85047459	 .04866016	 1.4438708	 .12507437	 .18265112	 9.7490495	
