	H	c_to_y	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .01438412	-.00566091	 .00004552	 .00359634	 .01379371	-.00449777	 .14823091	 .00433718	-.03260291	 .16863229	
c_to_y	-.00566091	 .02209733	 .00171524	-.00536446	-.00968073	 .01285216	-.06708014	  -.016747	 .04190797	-.12850104	
phtm	 .00004552	 .00171524	 .04159259	-.00145222	-.00073702	-.01069509	 .00180684	-.01375532	-.16655271	-.00830978	
whtm	 .00359634	-.00536446	-.00145222	 .06308863	 .00836017	-.01078698	 .03944358	-.00461728	 -.2817258	 .08505257	
mort	 .01379371	-.00968073	-.00073702	 .00836017	 .03299899	-.00433985	 .14406057	 .00848337	-.06892589	 .34962264	
logC	-.00449777	 .01285216	-.01069509	-.01078698	-.00433985	 .19031094	-.05275797	  .1014823	 .27110651	-.05741111	
logHW	 .14823091	-.06708014	 .00180684	 .03944358	 .14406057	-.05275797	   1.54907	 .05091418	-.37503783	 1.7709513	
logY	 .00433718	  -.016747	-.01375532	-.00461728	 .00848337	  .1014823	 .05091418	 .11592723	 .21530058	 .12205458	
logLW	-.03260291	 .04190797	-.16655271	 -.2817258	-.06892589	 .27110651	-.37503783	 .21530058	 4.0546394	-.68049789	
logM	 .16863229	-.12850104	-.00830978	 .08505257	 .34962264	-.05741111	 1.7709513	 .12205458	-.68049789	 4.0455509	
