	H	c_to_y	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .01131503	-.00320926	-.00228768	 .00272769	 .01118798	-.00108797	 .11603522	 .00387328	-.00776902	 .13938423	
c_to_y	-.00320926	 .02260073	 .00493483	 .00101414	-.00601082	 .01943444	 -.0387809	-.00993919	-.03600096	-.08861187	
phtm	-.00228768	 .00493483	 .03888668	-.00245827	-.00360785	-.00773892	  -.022241	-.01629656	-.25398935	-.04281881	
whtm	 .00272769	 .00101414	-.00245827	 .06781695	 .00455316	 .00201066	 .02271443	 .00035775	-.36519885	 .02766123	
mort	 .01118798	-.00601082	-.00360785	 .00455316	 .02714973	-.00113481	 .11411617	 .00648493	-.01466333	 .28309966	
logC	-.00108797	 .01943444	-.00773892	 .00201066	-.00113481	 .20738393	-.01669469	 .10926011	  .1058338	-.01761942	
logHW	 .11603522	 -.0387809	  -.022241	 .02271443	 .11411617	-.01669469	 1.2091465	 .04407374	-.04946624	 1.4369923	
logY	 .00387328	-.00993919	-.01629656	 .00035775	 .00648493	 .10926011	 .04407374	 .11570865	 .17084084	 .10247354	
logLW	-.00776902	-.03600096	-.25398935	-.36519885	-.01466333	  .1058338	-.04946624	 .17084084	 5.5354257	 .06326919	
logM	 .13938423	-.08861187	-.04281881	 .02766123	 .28309966	-.01761942	 1.4369923	 .10247354	 .06326919	 3.2996624	
