
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="baseline",="age control",="age polynomial",="IV L.a",="IV L.a L.y",="IV L.a L.c L.y"

="log_a",="0.00355*",="0.00825***",="0.00815***",="0.00546",="0.00461",="0.00745**"
="",="(0.00215)",="(0.00219)",="(0.00218)",="(0.00338)",="(0.00332)",="(0.00332)"

="Constant",="0.00583",="0.00306",="-0.00554",="0.01648",="0.02266",="0.00193"
="",="(0.02090)",="(0.04272)",="(0.07055)",="(0.07289)",="(0.07277)",="(0.07276)"

="Age controls ",="No",="Yes",="Yes",="Yes",="Yes",="Yes"

="Adjusted R-squared",="0.000",="0.009",="0.008",="0.009",="0.009",="0.009"
="Observations",="15166",="15166",="15166",="15092",="15092",="15092"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
