
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="baseline",="age control",="age polynomial",="IV L.a",="IV L.a L.y",="IV L.a L.c L.y"

="Log Bank Balances",="0.00554**",="0.00863***",="0.00850***",="0.00334",="0.00283",="0.00869**"
="",="(0.00233)",="(0.00236)",="(0.00236)",="(0.00432)",="(0.00422)",="(0.00422)"

="Constant",="0.03109",="0.01588",="-0.06311",="-0.08472",="-0.08082",="-0.12565*"
="",="(0.02303)",="(0.04347)",="(0.07215)",="(0.07672)",="(0.07639)",="(0.07637)"

="Age controls ",="No",="Yes",="Yes",="Yes",="Yes",="Yes"

="Year controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Kids controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Adjusted R-squared",="0.023",="0.028",="0.028",="0.027",="0.027",="0.028"
="Observations",="15092",="15092",="15092",="15092",="15092",="15092"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
