
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="age dum",="age poly",="IV L.a",="IV a y b s",="IV a y b L2.c",="IV a y b s L2.c"

="Log Liquid Assets",="0.00910***",="0.00898***",="0.00550*",="0.00493*",="0.00747**",="0.00727**"
="",="(0.00188)",="(0.00188)",="(0.00286)",="(0.00278)",="(0.00308)",="(0.00307)"

="Constant",="0.03296",="-0.11947*",="0.01328",="0.01879",="-0.00142",="0.00028"
="",="(0.02617)",="(0.06622)",="(0.03249)",="(0.03195)",="(0.03586)",="(0.03577)"

="Age controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Year controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Kids controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Adjusted R-squared",="0.029",="0.029",="0.029",="0.029",="0.027",="0.028"
="Observations",="16592",="16592",="16592",="16575",="11872",="11871"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
