
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="age dum",="age poly",="age dum",="age poly",="age dum",="age poly",="age dum",="age poly"

="L.Log Liquid Assets",="0.00356",="0.00354",="0.00345",="0.00334",="0.00352",="0.00351",="",=""
="",="(0.00185)",="(0.00185)",="(0.00237)",="(0.00236)",="(0.00193)",="(0.00193)",="",=""

="L.log_housing_wealth_tempt",="",="",="0.00138",="0.00157",="",="",="",=""
="",="",="",="(0.00346)",="(0.00346)",="",="",="",=""

="L.log_housing_wealth_temptp1",="",="",="",="",="0.00021",="0.00025",="0.00026",="0.00030"
="",="",="",="",="",="(0.00082)",="(0.00082)",="(0.00083)",="(0.00083)"

="1L.homeowner",="",="",="",="",="-0.00352",="-0.00448",="0.01746",="0.01829"
="",="",="",="",="",="(0.01047)",="(0.01043)",="(0.04381)",="(0.04377)"

="0bL.homeowner # L.Log Liquid Assets",="",="",="",="",="",="",="0.00550",="0.00565"
="",="",="",="",="",="",="",="(0.00445)",="(0.00445)"

="1L.homeowner # L.Log Liquid Assets",="",="",="",="",="",="",="0.00307",="0.00302"
="",="",="",="",="",="",="",="(0.00213)",="(0.00213)"

="Constant",="0.08394**",="-0.07955",="0.05159",="-0.03827",="0.08571**",="-0.08006",="0.06845",="-0.09858"
="",="(0.02600)",="(0.06607)",="(0.04256)",="(0.09409)",="(0.02651)",="(0.06708)",="(0.04390)",="(0.07546)"

="Age controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Year controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Kids controls ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Adjusted R-squared",="0.028",="0.028",="0.028",="0.028",="0.028",="0.028",="0.028",="0.028"
="Observations",="16592",="16592",="11093",="11093",="16592",="16592",="16592",="16592"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
